Time,Fixed_inj1,Net_Fixed_inj1,Fixed_inj2,Net_Fixed_inj2,Prod1,Net_Prod1,Prod2,Net_Prod2,Prod3,Net_Prod3,Prod4,Net_Prod4
47,1053.941157076363,76197.93269187992,548.8153765084054,43550.0215317331,534.0463829948121,43081.300601670366,672.793409627275,48412.606247889766,642.0703047090461,48399.23404270467,401.4222096964959,25682.036111826565
48,813.5508642925724,77011.48355617249,709.6073157960424,44259.628847529144,591.0806638305912,43672.38126550095,643.4668371759725,49056.073085065735,621.2257824952379,49020.45982519991,373.7753029004586,26055.811414727024
49,665.5184686506533,77677.00202482314,540.3769130025129,44800.005760531654,519.0918184087644,44191.47308390972,572.2825305550035,49628.35561562074,524.8188240840683,49545.27864928398,430.6248819490024,26486.436296676027
50,620.717833372263,78297.71985819541,669.1722403907161,45469.17800092237,577.0647108175293,44768.53779472725,617.2084401373174,50245.564055758055,527.31265945142,50072.5913087354,368.5135425267379,26854.949839202764
51,549.320144424591,78847.04000262001,474.477897346964,45943.65589826934,489.7014154570632,45258.239210184314,490.59403084080697,50736.158086598865,543.8501702773434,50616.44147901274,568.2036100983983,27423.15344930116
52,1341.9424518327392,80188.98245445275,566.9582260953601,46510.6141243647,572.1418725059831,45830.3810826903,688.1383240112483,51424.29641061011,638.2564174699754,51254.697896482714,414.0934335753256,27837.246882876487
53,1342.081558855499,81531.06401330825,445.8797506045682,46956.49387496927,564.1375165989385,46394.51859928924,697.4830312440193,52121.77944185413,628.3557749250726,51883.05367140779,387.74365829168556,28224.990541168172
54,1031.7440359454852,82562.80804925374,477.27716417622315,47433.77103914549,573.6148060831006,46968.13340537234,770.6928773556325,52892.472319209766,681.1023012311531,52564.155972638946,700.2954065186995,28925.285947686873
55,1110.5144803972696,83673.322529651,482.8022217014547,47916.57326084694,577.0224289751781,47545.15583434752,639.6487196463744,53532.12103885614,628.0040498542376,53192.16002249318,411.98886038117917,29337.27480806805
56,835.7414615602152,84509.06399121122,222.95717050999497,48139.530431356936,450.00496890599015,47995.16080325351,490.19305642402907,54022.31409528017,634.3599378347275,53826.51996032791,429.51668864066187,29766.791496708713
57,683.1011690649644,85192.16516027618,518.3591884055253,48657.88961976246,450.8477013664588,48446.00850461997,533.0419771586438,54555.356072438815,665.9570046893826,54492.4769650173,451.77735957654096,30218.568856285252
58,793.2919738938166,85985.45713417,479.6408250269074,49137.53044478937,448.8488942609309,48894.8573988809,516.3744169779415,55071.730489416754,591.7024995944196,55084.17946461172,498.2357594891762,30716.80461577443
59,974.8488695658817,86960.3060037359,387.9146819705245,49525.4451267599,425.6187220777654,49320.476120958665,485.97804655622986,55557.70853597298,640.4429500650116,55724.622414676734,388.6124314405799,31105.417047215007
60,282.90873004433155,87243.21473378023,410.9699104849241,49936.41503724482,398.1237071889273,49718.59982814759,425.40952893449213,55983.118064907474,677.5208568815135,56402.14327155825,427.7909442320818,31533.20799144709
61,713.8555975020032,87957.07033128223,514.6873629050602,50451.10240014988,392.22708215817215,50110.82691030576,466.7043012170372,56449.822366124514,475.8231648982118,56877.96643645646,624.2020773714838,32157.41006881857
62,401.8742913843298,88358.94462266656,315.2167744070494,50766.31917455693,367.0966809267799,50477.92359123254,391.6799431021596,56841.50230922667,532.4203601399956,57410.38679659645,372.6941086198786,32530.10417743845
63,424.8854367652759,88783.83005943184,365.97427960554904,51132.29345416248,322.19617634751205,50800.11976758005,403.8644226004662,57245.36673182714,456.0612708924359,57866.44806748889,625.378230464175,33155.48240790262
64,174.2394256194897,88958.06948505134,376.3923316198307,51508.68578578231,318.28345020582884,51118.40321778588,376.69190026533494,57622.05863209248,459.99494599884883,58326.44301348774,426.54887254779015,33582.031280450414
65,611.9864587337134,89570.05594378505,630.7687630477922,52139.45454883011,477.02302529327375,51595.42624307916,526.4528024338191,58148.5114345263,454.43511423162545,58780.87812771936,361.82693879171944,33943.85821924213
66,355.2192008162421,89925.27514460128,337.48420114014897,52476.93874997026,440.1293487157845,52035.55559179494,326.9838953501291,58475.49532987643,427.153848567863,59208.031976287224,400.43119673934956,34344.28941598148
67,787.239682038915,90712.5148266402,285.6622249434863,52762.600974913745,358.6285301671721,52394.18412196211,414.17419359291654,58889.66952346935,398.5238832206821,59606.555859507906,381.3463687262147,34725.635784707694
68,672.1127108939257,91384.62753753412,353.3063085874666,53115.90728350121,381.6711307838586,52775.85525274597,415.27181040191,59304.941333871255,442.03939323639685,60048.5952527443,365.65311573347395,35091.28890044117
69,1057.7209754090493,92442.34851294316,328.26044907228254,53444.16773257349,406.19906140436433,53182.05431415033,519.9149940466988,59824.85632791795,508.75512531146506,60557.350378055766,377.67136824651993,35468.96026868769
70,818.4479416022667,93260.79645454543,267.4607124047665,53711.62844497826,346.32427945232945,53528.37859360266,449.1605212632921,60274.016849181244,598.3918776344111,61155.74225569018,398.8581413409898,35867.81841002868
71,899.3553710339983,94160.15182557942,336.42021030175493,54048.048655280014,421.45283536533674,53949.831428968,474.67077941726444,60748.687628598505,480.8472107645823,61636.58946645476,458.06784730604164,36325.88625733472
72,589.2032398950963,94749.35506547452,340.8156193706454,54388.86427465066,394.275690798107,54344.10711976611,493.3068808223675,61241.994509420874,482.79516765450717,62119.384634109265,390.8092968113379,36716.69555414606
73,863.7606484991264,95613.11571397365,483.7585726175791,54872.62284726824,468.76078441538704,54812.8679041815,544.8991739178831,61786.893683338756,542.1372479098563,62661.52188201912,483.39979635442256,37200.09535050049
74,464.9346350466862,96078.05034902033,310.0673592526175,55182.690206520856,370.5166798086582,55183.384583990155,460.1793216269829,62247.073004965736,455.0015379545946,63116.52341997372,365.7158392036013,37565.81118970409
75,1005.471025271373,97083.5213742917,378.71634081985803,55561.40654734072,405.94102452192766,55589.32560851208,447.05459927134467,62694.12760423708,500.712364330979,63617.2357843047,396.83174974624694,37962.642939450336
76,65.54084628774142,97149.06222057944,307.6438067986756,55869.05035413939,307.81301402035535,55897.13862253244,379.68542281494405,63073.81302705203,397.31912810634344,64014.55491241104,578.390328808535,38541.03326825887
77,646.1025967857323,97795.16481736516,328.80229773927294,56197.85265187867,335.92406539684464,56233.06268792928,380.9460660938934,63454.75909314592,438.7233222070211,64453.27823461806,348.9227970721917,38889.95606533106
78,540.8173893956381,98335.9822067608,246.89905359049592,56444.75170546916,326.517509301611,56559.58019723089,346.07417654602415,63800.833269691946,394.83967424040446,64848.11790885847,452.351901960071,39342.30796729113
79,769.8927478784493,99105.87495463925,417.3129545160936,56862.064659985255,375.81793542819327,56935.39813265909,505.593946594593,64306.42721628654,447.3404704932188,65295.45837935169,432.73366487290804,39775.041632164044
80,677.0023008907718,99782.87725553002,433.78433627460663,57295.84899625986,387.7377892317852,57323.13592189087,557.5636987117716,64863.99091499831,476.37686027677705,65771.83523962846,361.4912616189529,40136.532893783
81,733.6342703373722,100516.51152586739,356.49759464491814,57652.34659090478,365.16566057320216,57688.30158246407,466.5829552662626,65330.57387026457,420.34592197428816,66192.18116160276,460.0359558770926,40596.56884966009
